X;Y;Unique Squirrel ID;Hectare;Shift;Date;Hectare Squirrel Number;Age;Primary Fur Color;Highlight Fur Color;Combination of Primary and Highlight Color;Color notes;Location;Above Ground Sighter Measurement;Specific Location;Running;Chasing;Climbing;Eating;Foraging;Other Activities;Kuks;Quaas;Moans;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Other Interactions;Lat/Long
-739.576.530.157.255;407.868.659.490.397;29I-PM-1007-01;29I;PM;10072018;1;;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9576530157255 40.7868659490397)
-739.662.438.996.681;407.890.381.809.441;28A-PM-1007-05;28A;PM;10072018;5;Adult;Cinnamon;;Cinnamon+;;Ground Plane;FALSE;;TRUE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;;POINT (-73.9662438996681 40.7890381809441)
-739.742.073.452.913;407.757.957.380.463;12B-AM-1007-01;12B;AM;10072018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9742073452913 40.7757957380463)
-739.639.159.298.446;407.891.774.637.988;29C-AM-1007-06;29C;AM;10072018;6;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9639159298446 40.7891774637988)
-739.579.645.940.414;407.918.613.498.407;34F-AM-1007-01;34F;AM;10072018;1;Adult;Gray;White;Gray+White;;Above Ground;25;;TRUE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9579645940414 40.7918613498407)
-739.595.933.195.409;407.905.847.332.369;32E-AM-1007-13;32E;AM;10072018;13;Adult;Gray;;Gray+;;Above Ground;50;;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9595933195409 40.7905847332369)
-739.602.222.116.708;40.793.779.699.421;35C-AM-1007-05;35C;AM;10072018;5;Adult;Gray;;Gray+;;Above Ground;4;;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9602222116708 40.793779699421)
-739.675.634.326.877;407.813.477.352.507;19D-AM-1007-01;19D;AM;10072018;1;Juvenile;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;fenced off area can't approach;POINT (-73.9675634326877 40.7813477352507)
-739.690.175.838.534;407.760.432.720.017;14F-AM-1007-05;14F;AM;10072018;5;Juvenile;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9690175838534 40.7760432720017)
-739.741.824.992.294;407.689.486.657.963;5F-PM-1007-03;05F;PM;10072018;3;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;hiding nut;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.9741824992294 40.7689486657963)
-739.694.240.327.509;407.755.898.126.674;13F-AM-1007-02;13F;AM;10072018;2;Adult;Cinnamon;White;Cinnamon+White;;;;;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.96942403275091 40.7755898126674)
-7.396.148.483.609;407.922.645.521.905;33C-PM-1007-03;33C;PM;10072018;3;Adult;Gray;White;Gray+White;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.96148483609 40.7922645521905)
-739.530.035.564.643;407.921.822.457.613;36I-PM-1007-07;36I;PM;10072018;7;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9530035564643 40.7921822457613)
-739.708.726.050.721;407.723.572.030.236;10F-AM-1007-02;10F;AM;10072018;2;Adult;Gray;;Gray+;;Above Ground;70;;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9708726050721 40.7723572030236)
-739.565.759.733.611;407.992.461.674.802;42C-AM-1007-02;42C;AM;10072018;2;;;;+;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9565759733611 40.7992461674802)
