X,Y,Unique Squirrel ID,Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
-739.649.611.089.685,407.814.371.834.837,21F-AM-1018-05,21F,AM,10182018,Adult,Cinnamon,False,False,True,False,False,False,False,False,True,False,False,True
-739.714.289.592.392,407.750.670.702.093,12E-PM-1018-04,12E,PM,10182018,Adult,Cinnamon,False,False,True,False,False,False,False,False,False,False,False,True
-739.632.646.049.622,407.817.401.292.083,22G-AM-1018-05,22G,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.635.290.751.183,407.820.936.628.202,22G-AM-1018-02,22G,AM,10182018,Adult,Gray,True,False,True,False,False,True,False,False,False,False,False,True
-739.643.825.381.614,407.815.445.841.195,21F-PM-1018-03,21F,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.721.670.042.434,40.776.085.913.838,13D-PM-1018-09,13D,PM,10182018,Adult,Gray,True,False,False,False,True,False,False,False,False,False,True,False
-739.786.714.207.307,407.696.870.806.229,4B-PM-1018-01,04B,PM,10182018,Adult,Gray,False,False,False,True,False,False,False,False,False,True,False,False
-739.712.256.765.283,407.760.942.872.488,13D-PM-1018-13,13D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.698.196.671.161,407.802.972.001.469,18C-PM-1018-03,18C,PM,10182018,Juvenile,Gray,True,True,False,False,False,False,False,False,False,False,False,True
-739.757.249.834.141,407.697.032.606.755,5D-PM-1018-05,05D,PM,10182018,Juvenile,Gray,False,False,True,False,False,False,False,False,False,False,False,True
-739.655.905.300.923,407.752.614.638.023,14I-PM-1018-06,14I,PM,10182018,Adult,Cinnamon,True,False,True,False,False,False,False,False,True,False,True,False
-739.763.791.121.438,40.770.281.512.254,5D-PM-1018-04,05D,PM,10182018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,False,True
-739.548.877.830.136,407.950.157.489.103,38F-AM-1018-04,38F,AM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-739.695.964.983.454,407.802.302.192.799,18C-PM-1018-08,18C,PM,10182018,Juvenile,Black,False,False,False,False,True,False,False,False,False,False,False,False
-739.695.569.897.042,407.712.062.147.171,9H-PM-1018-01,09H,PM,10182018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
-739.669.814.346.326,40.780.390.919.948,19E-PM-1018-01,19E,PM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,True,False,False,True
-739.591.407.691,407.960.846.903.122,37B-AM-1018-01,37B,AM,10182018,Adult,Black,True,False,False,False,False,False,False,False,True,False,True,False
-739.683.479.943.823,407.815.827.298.303,20C-PM-1018-01,20C,PM,10182018,Juvenile,Gray,True,True,False,False,False,False,False,False,False,False,False,False
-739.648.626.810.032,407.804.506.112.843,20G-AM-1018-02,20G,AM,10182018,Adult,Gray,True,False,True,False,False,True,False,False,False,False,False,False
-739.654.210.263.521,407.782.529.692.575,17G-AM-1018-01,17G,AM,10182018,Juvenile,Gray,False,False,False,False,True,False,False,False,False,False,False,True
-739.710.559.113.762,407.794.279.914.209,16C-PM-1018-01,16C,PM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-739.741.846.413.977,407.762.518.164.182,12B-PM-1018-01,12B,PM,10182018,Adult,Gray,False,False,True,False,True,False,False,False,False,False,False,True
-73.969.485.639.023,40.780.519.159.069,18C-PM-1018-05,18C,PM,10182018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,True,False
-739.741.621.946.917,407.752.481.472.025,11C-PM-1018-01,11C,PM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,True
-739.629.483.374.528,407.936.809.905.265,33A-PM-1018-03,33A,PM,10182018,Adult,Gray,True,False,True,False,False,False,False,False,False,False,False,True
-739.718.720.403.657,407.702.335.056.337,7G-PM-1018-04,07G,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.786.805.884.996,407.697.559.231.927,4B-PM-1018-02,04B,PM,10182018,Adult,Gray,False,False,False,True,False,False,False,False,False,True,False,False
-739.678.937.289.837,407.782.808.361.645,16E-PM-1018-01,16E,PM,10182018,Juvenile,Gray,True,False,False,False,False,False,False,False,True,False,True,False
-739.514.111.329.059,407.975.085.872.897,42G-AM-1018-01,42G,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,True,False,True
-739.699.451.196.396,407.710.409.982.701,9H-PM-1018-02,09H,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.532.838.338.416,407.931.112.674.583,37H-AM-1018-01,37H,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-7.397.035.767.623,407.714.036.487.747,9H-PM-1018-09,09H,PM,10182018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,False
-739.649.827.807.341,407.817.322.832.767,21F-AM-1018-06,21F,AM,10182018,Adult,Cinnamon,True,False,False,False,False,False,False,False,True,False,False,True
-739.698.843.507.358,407.803.754.187.581,18C-PM-1018-02,18C,PM,10182018,Juvenile,Gray,True,False,False,False,True,False,False,False,False,False,False,False
-739.635.317.822.977,407.821.352.080.233,22G-AM-1018-01,22G,AM,10182018,Adult,Gray,False,True,False,False,False,True,False,True,False,False,True,False
-73.969.553.896.295,407.709.884.929.277,9H-PM-1018-04,09H,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-73.975.673.607.467,407.699.044.294.204,5D-PM-1018-01,05D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,True
-739.593.374.341.938,40.797.258.337.802,38B-PM-1018-01,38B,PM,10182018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False
-739.685.859.705.486,407.848.805.065.322,23A-AM-1018-04,23A,AM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,True
-739.532.657.715.601,407.949.046.809.422,39G-AM-1018-02,39G,AM,10182018,Juvenile,Gray,False,False,False,False,False,False,False,False,False,False,True,False
-739.722.265.046.794,407.700.916.895.929,7G-PM-1018-02,07G,PM,10182018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
-739.713.399.316.534,407.750.678.026.757,12E-PM-1018-02,12E,PM,10182018,Adult,Black,False,False,True,False,False,False,False,False,True,False,True,False
-739.679.955.831.115,407.818.431.607.916,20C-PM-1018-04,20C,PM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-739.711.319.254.625,407.760.324.859.879,13D-PM-1018-12,13D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.632.799.339.872,407.808.316.436.308,21H-PM-1018-01,21H,PM,10182018,Juvenile,Gray,False,False,False,False,False,False,False,False,True,True,False,False
-739.712.550.584.322,407.764.273.475.386,13D-PM-1018-06,13D,PM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
-739.631.818.528.816,407.925.332.194.132,32A-AM-1018-01,32A,AM,10182018,Adult,Gray,True,True,False,False,False,False,False,False,False,False,True,False
-73.964.572.179.093,407.811.208.719.018,21F-PM-1018-01,21F,PM,10182018,Adult,Cinnamon,False,False,False,False,True,False,False,False,False,False,False,True
-739.694.066.600.156,407.805.662.180.672,18C-PM-1018-06,18C,PM,10182018,Juvenile,Gray,False,False,True,True,True,False,False,False,False,False,True,False
-739.682.067.129.876,407.779.911.208.015,16E-PM-1018-05,16E,PM,10182018,Adult,Gray,False,False,False,False,False,False,False,True,False,True,False,False
-739.616.999.731.028,407.954.126.939.561,36A-AM-1018-02,36A,AM,10182018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
-739.701.412.231.078,407.714.534.088.899,9H-PM-1018-08,09H,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.696.119.179.789,407.802.926.111.865,18C-PM-1018-09,18C,PM,10182018,Juvenile,Gray,False,False,True,True,True,False,False,False,False,False,False,False
-739.714.512.125.212,407.760.275.250.114,13D-PM-1018-03,13D,PM,10182018,Adult,Gray,True,False,False,True,True,False,False,False,False,False,True,False
-739.683.345.414.813,407.779.016.280.345,16E-PM-1018-07,16E,PM,10182018,Juvenile,Gray,False,False,True,False,False,True,False,False,False,False,True,False
-73.967.762.162.893,407.823.359.027.165,20C-PM-1018-08,20C,PM,10182018,Juvenile,Cinnamon,True,False,False,False,False,False,False,False,False,True,False,True
-739.533.319.519.277,407.933.647.909.449,37H-AM-1018-02,37H,AM,10182018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-739.712.034.320.741,407.764.415.506.669,13D-PM-1018-05,13D,PM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,True,True,True,False
-739.750.986.553.543,407.740.671.171.292,10C-AM-1018-03,10C,AM,10182018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.716.624.574.422,407.762.037.110.101,13D-PM-1018-07,13D,PM,10182018,Adult,Gray,True,False,True,False,False,False,False,False,False,False,True,False
-739.686.413.326.172,407.817.423.907.284,19C-PM-1018-08,19C,PM,10182018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,False,False
-739.534.910.562.766,407.935.774.443.789,37H-AM-1018-04,37H,AM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,True,False,False,True
-739.681.627.331.154,407.785.099.665.602,17E-PM-1018-02,17E,PM,10182018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,True,False
-739.687.134.137.786,407.812.207.913.391,19C-PM-1018-03,19C,PM,10182018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,True,False
-739.704.677.007.779,407.786.860.108.302,16C-PM-1018-02,16C,PM,10182018,Adult,Gray,False,True,False,True,True,False,False,False,True,False,True,False
