Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
33C,AM,10132018,Calm,5,50.0,1
33G,PM,10132018,Calm,5,55.0,1
34C,PM,10132018,"Calm, Busy",6,56.0,0
34G,PM,10132018,Calm,1,50.0,0
35B,PM,10132018,Calm,2,59.0,1
35E,AM,10132018,Busy,3,55.0,1
35H,PM,10132018,Calm,7,50.0,0
35I,AM,10132018,Calm,7,56.0,1
36D,PM,10132018,Calm,1,50.0,1
36I,PM,10132018,Calm,2,50.0,1
37E,AM,10132018,Busy,6,55.0,1
37E,PM,10132018,Calm,4,55.0,1
38D,AM,10132018,"Calm, Busy",9,54.0,1
38E,AM,10132018,"Calm, Busy",12,54.0,0
38G,AM,10132018,Busy,7,13.0,1
38H,PM,10132018,Busy,4,13.0,1
39A,AM,10132018,Busy,5,56.0,1
39B,AM,10132018,Calm,8,54.0,1
39B,PM,10132018,Calm,10,54.0,1
39D,AM,10132018,Busy,4,56.0,1
39F,AM,10132018,Busy,4,55.0,0
39G,AM,10132018,Busy,1,55.0,0
41E,PM,10132018,Busy,6,48.0,1
41F,PM,10132018,Busy,3,50.0,0
41G,PM,10132018,Calm,2,55.0,1
41H,PM,10132018,Calm,7,52.1,0
41I,AM,10132018,Busy,4,53.0,1
42B,AM,10132018,Calm,6,55.0,0
42B,PM,10132018,Busy,1,55.0,1
42C,PM,10132018,"Calm, Busy",5,55.0,1
42G,AM,10132018,Calm,6,55.0,0
42H,AM,10132018,Busy,12,52.1,1
01A,PM,10142018,Busy,7,54.0,0
02B,AM,10142018,Busy,5,58.0,1
06H,PM,10142018,Busy,3,58.0,1
07C,PM,10142018,Busy,0,52.0,1
07E,AM,10142018,Calm,9,57.0,1
08A,PM,10142018,Busy,3,57.0,1
08B,PM,10142018,Calm,8,57.0,1
08E,PM,10142018,,4,57.0,1
08F,AM,10142018,Busy,5,58.0,1
09C,AM,10142018,Busy,0,53.7,1
09D,PM,10142018,Busy,8,53.7,1
10E,AM,10142018,Calm,3,56.0,1
11A,AM,10142018,Busy,4,53.7,1
11D,AM,10142018,Calm,11,51.0,1
11I,PM,10142018,Busy,2,53.7,1
12A,AM,10142018,Calm,8,57.0,1
12B,AM,10142018,"Calm, Busy",8,57.0,1
12C,PM,10142018,Calm,16,52.0,1
13A,AM,10142018,Busy,3,50.0,1
13I,AM,10142018,Busy,2,50.0,1
14A,AM,10142018,Calm,4,50.0,1
14B,PM,10142018,Calm,10,50.0,1
15E,PM,10142018,Busy,4,49.0,1
16B,AM,10142018,Busy,3,58.0,0
17E,PM,10142018,Busy,1,57.0,1
17F,PM,10142018,Busy,2,49.0,1
17G,PM,10142018,Busy,3,49.0,1
17I,PM,10142018,Busy,0,55.0,0
18B,PM,10142018,Busy,5,54.0,1
18F,AM,10142018,Busy,7,55.0,1
18I,PM,10142018,Busy,7,50.0,1
19B,PM,10142018,Calm,2,50.0,0
19C,PM,10142018,Busy,8,58.0,0
19H,AM,10142018,Busy,4,57.0,1
19I,PM,10142018,Busy,0,54.0,1
20C,PM,10142018,Busy,0,55.0,1
20E,AM,10142018,Busy,2,50.0,1
20H,PM,10142018,,0,53.7,1
21A,PM,10142018,Busy,2,51.0,1
21E,AM,10142018,Busy,0,49.0,1
21E,PM,10142018,Busy,0,53.0,0
21G,PM,10142018,Calm,1,50.0,0
21I,AM,10142018,Busy,2,53.7,1
22F,AM,10142018,,6,53.7,0
23C,PM,10142018,Busy,2,50.0,1
24C,PM,10142018,Busy,7,50.0,1
24I,AM,10142018,Calm,1,49.0,1
27A,AM,10142018,Calm,6,51.0,1
29B,AM,10142018,Calm,13,50.0,1
30H,AM,10142018,,8,50.0,1
32A,PM,10142018,"Calm, Busy",4,50.0,0
33B,AM,10142018,Calm,8,57.0,0
33D,AM,10142018,Busy,3,59.0,0
33I,PM,10142018,Busy,10,58.0,0
34B,PM,10142018,Busy,5,59.0,0
34F,PM,10142018,Busy,4,57.0,1
34G,AM,10142018,Busy,3,57.0,1
34H,AM,10142018,Busy,3,50.0,1
34H,PM,10142018,"Calm, Busy",6,57.0,1
35C,PM,10142018,"Calm, Busy",5,51.0,1
35F,PM,10142018,,6,57.0,0
35I,PM,10142018,Busy,4,50.0,1
36E,AM,10142018,Calm,5,57.0,1
36F,PM,10142018,Calm,5,57.0,1
36G,AM,10142018,Calm,5,50.0,1
36I,AM,10142018,Calm,0,57.0,0
37C,AM,10142018,Busy,1,57.0,1
37H,PM,10142018,Busy,5,57.0,1
37I,PM,10142018,Calm,3,57.0,1
38A,PM,10142018,Busy,9,54.0,1
38E,PM,10142018,Busy,12,57.0,1
38G,PM,10142018,Busy,7,57.0,1
38I,AM,10142018,Calm,1,50.0,1
39E,AM,10142018,Busy,6,50.0,1
39I,AM,10142018,"Calm, Busy",5,53.7,1
39I,PM,10142018,Calm,0,53.7,1
40B,PM,10142018,Busy,2,49.0,1
40C,AM,10142018,Calm,3,49.0,0
41H,AM,10142018,Calm,6,50.0,1
41I,PM,10142018,Calm,8,57.0,0
42D,AM,10142018,Calm,2,53.7,1
42E,AM,10142018,Busy,3,53.7,1
02F,AM,10172018,Calm,8,60.0,1
05C,PM,10172018,Busy,7,61.0,1
07D,PM,10172018,Busy,2,61.0,1
07E,PM,10172018,Busy,6,50.0,1
09A,AM,10172018,Calm,10,60.0,0
10D,AM,10172018,Calm,1,56.8,0
10E,PM,10172018,Busy,8,51.0,1
10I,AM,10172018,Busy,0,60.0,1
10I,PM,10172018,Calm,5,49.0,1
11E,AM,10172018,Calm,13,52.0,0
12D,PM,10172018,Calm,5,58.0,1
